,options_a,options_b,options_c,options_d,year,answer,Explanation,shortQuestion,QuestionHeader
395,1,2,3,4,SSC MTS 9-10-2017 (Shift-I),a,"Ans:  (a) In the above sentence, 'A' will be used in place of 'An', because 'A' is used before consonant  while article 'An' is used before vowel sound. Note  :– If the pronunciation of consonant is vowel, the n Article 'An' is used before it.  Correct Sentence :-  A Country's Central News Agency said the launch was a ''muscle-flexing''.",(3)/ No Error (4),"In the following question, some part of the sentence may have errors Find out which part of the sentence has an error and select the appropriate option If a sentence is free from error, select 'No Error' An Country's Central News Agency (1)/said the launch was a (2)/''muscle-flexing''."
396,1,2,3,4,SSC MTS 9-10-2017 (Shift-III),b,"Ans: (b) In the above sentence, 'the government' would be appropriate in place of 'a government', because here the use of Government is used as specific sense.  Therefore before it, definite article 'the' will be  used. Correct Sentence :-  However, the essential services and critical staff in the  government will be on duty today.","However, the essential services (1) / and critical staff in a government (2) / will be on duty today (3) / No Error (4)","In the following question, the sentence may have errors Find out which part of the sentence is an error and select the appropriate option If a sentence is free from error, select 'No Error'."
397,1,2,3,4,SSC MTS 10-10-2017 (Shift-II),successful,"Ans. ( a) : In the above sentence 'a' will be used instead of 'an', because article 'a' is used before the wor d consonant sound (successful), while article 'an' is  used before vowel sound.  Correct Sentence :-  We look forward to a  successful working relationship in the future.",We look forward to an (1)/ successful working relationship (2)/ in the future (3)/ No Error (4),"In the following question, some part of the sentence may have errors Find out which part of the sentence has as error and select the appropriate option If a sentence is free from error, select 'No Error'."
398,of a eye,in the blink,Patralekha finished,the cake,SSC MTS – 22/08/2019 (Shift-III),a,"Ans. (a) :  'Of an eye' would be appropriate in place of 'of a eye', in the above sentence. Because the pronunciation of eye is being used as vowel sound. Therefore article 'an' will be used before 'eye'. Correct Sentece :-  Patralekha finished the cake in the blink of an  eye.Spotting Error 63 YCT",Patralekha finished the cake in the blink of a eye,Identify the segment in the sentence which contains the grammatical error.
399,as a salary offered,Nisha rejected,was too low,the job offer,SSC MTS – 20/08/2019 (Shift-III),a,"Ans. (a) :  In the above sentence, as the salary offered' will be used instead of 'as a salary offered'. Beca use in the sentence, the use of salary would be appropriat e in definite sense.   Correct Sentence :-  ''Nisha rejected the job offer as the  salary offered was too low''.",Nisha rejected the job offer as a salary offered was too low,Identify the segment in the sentence which contains the grammatical error.
400,on a moon,Due to a last minute snag,the mission,had to be cancelled,SSC MTS – 16/08/2019 (Shift-II),a,"Ans. (a) :  In the above sentence, instead of 'on a moon', 'On the Moon' would be appropriate. Because definit e article 'the' is used before celestial object of th e world like – Sun, Moon, Earth, Planet, North pole, South Pole equator etc.   Correct sentence : - Due to a last minute snag, the mission on the  moon had to be cancelled.","Due to a last minute snag, the mission on a moon had to be cancelled",Identify the segment in the sentence which contains the grammatical error.
401,there was queue of,people waiting,to see the movie,Outside the cinema hall,SSC MTS – 13/08/2019 (Shift-II),a,"Ans. (a) :  In the above sentence, Article 'a' will be used before queue. Because article 'a/an' is used b efore singular countable noun.    Correct sentence :-  Outside the Cinema hall, there was a  queue of people waiting to see the movie.","Outside the cinema hall, there was queue of people waiting to see the movie",Identify the segment in the sentence which contains the grammatical error from the given options.
402,Attractive spot,which is most,they visited,in Delhi,SSC GD – 11/02/2019 (Shift-III),b,"Ans. (b) : 'The most' would be appropriate in place of 'most' in the above sentence, because article 'the'  is used before superlative degree.   much more most− −  Correct Sentence : -  They visited the Qutub Minar, which is the  most attractive spot in Delhi.  G.  Correct use of Pronoun, Adjective and Adverb","They visited the Qutub Minar, which is most attractive spot in Delhi",Identify the segment in the sentence which contains the grammatical error from the given options.
403,pass me that,glittery pen black?,No error,Can you please,SSC MTS 15/05/2023 (Shift-I),b,"Ans. (b) :  In the above sentence part (b) 'glittery pen black ?' is grammatically incorrect Because the par t show irregular sequence of adjective and noun, the correct sequence is 'adjective + noun' (pen). The correct sentence– can you please pass me glitte ry black pen .",Can you please pass me that glittery pen black?,"Find the part of the given sentence that has an error in it If there is no error, choose ‘No error’."
404,get extreme cold,it can,the winters,during,SSC CGL (Tier-I) 27/07/2023 (Shift-III),a,Ans. (a) :  The segment of the above given sentence 'get extream cold'' is grammatically incorrect because t he adverb (extremely) is used in the place of 'extreme '. It modifies the adjective (cold) / the correct. Sentence is- 'It can get extremely  cold during the winters.',It can / get extreme cold / during / the wniters,The following sentences has been split into four segments Identify the segment that contains a grammatical error.
405,The food container,the demands of the affected people.,No error,is not enough big to meet,SSC CHSL (Tier-I) 09/08/2023 (Shift-III),d,"Ans. (d) :  In the above sentence ""is not enough big to meet"" need to be replaced with ""is not big enough t o meet"". Because Adverb ""enough"" always comes after the adjective, while it can come before a noun. 'Bi g enough' means sufficient to Fulfill a need' demand or requirement"".  Correct Sentence  The food container is not big enough to meet  the demands of the affected people.",The food container / is not enough big to meet / the demands of the affected people,"The following sentence has been divided into parts One of them may contain an error Select the part that contains the error from the given options If you don’t find any error, mark ‘No error’ as your answer."
406,Don't talk so loudly.,Rama can bowl fastly.,Go back to your room.,Run quickly.,SSC CHSL (Tier-I) 14/08/2023 (Shift-IV)Spotting Error 64 YCT,b,Ans. (b) :  In the above sentence fastly will be replaced with fast (Adverb) and fast words as an adjective a lso. Fast does not require – 'ly' in the end to make an adverb. as it is an adverb itself.   Correct Sentence–  Rama can bowl fast .,Select the sentence that has a grammatical error,.
407,fancy dress pink?,No error,price of this,what is the,SSC CHSL (Tier-I) 21/03/2023 (Shift-IV),a,Ans. (a) :  In the above sentence 'Pink fancy dress' will be used in place of 'fancy dress Pink' if more than  one Adjective is used before noun then its proper seque nce will be size/shape/age/color/origin/material/ Purpo se. Correct Sentence  : What is the price of this Pink fancy  dress.,What is the price of this fancy dress pink?,"Find the part of the given sentence that has an error in it If there is no error, choose ‘No error’."
